Úroveò,Název funkce,Poèet volání,% uplynulého celkového èasu,% uplynulého výhradního èasu,Prùmìrný uplynulý celkový èas,Prùmìrný uplynulý výhradní èas,Název modulu,
0,"Profiling.exe",0,"100,00","0,00","0,00","0,00","",
1,"mainCRTStartup",1,"100,00","0,55","3,38","0,02","Profiling.exe",
2,"__scrt_common_main",1,"99,45","5,48","3,36","0,19","Profiling.exe",
3,"__scrt_common_main_seh",1,"93,95","0,33","3,17","0,01","Profiling.exe",
4,"invoke_main",1,"83,00","0,02","2,80","0,00","Profiling.exe",
5,"main",1,"82,98","0,01","2,80","0,00","Profiling.exe",
6,"profiling",1,"67,77","1,25","2,29","0,04","Profiling.exe",
7,"fscanf",101,"36,06","0,49","0,01","0,00","Profiling.exe",
8,"_vfscanf_l",101,"35,55","0,73","0,01","0,00","Profiling.exe",
9,"__stdio_common_vfscanf",101,"34,35","34,35","0,01","0,01","ucrtbased.dll",
9,"__local_stdio_scanf_options",101,"0,45","0,45","0,00","0,00","Profiling.exe",
10,"_RTC_CheckEsp",101,"0,00","0,00","0,00","0,00","Profiling.exe",
10,"__CheckForDebuggerJustMyCode",101,"0,00","0,00","0,00","0,00","Profiling.exe",
9,"_RTC_CheckEsp",202,"0,02","0,02","0,00","0,00","Profiling.exe",
9,"__CheckForDebuggerJustMyCode",101,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",101,"0,01","0,01","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",101,"0,01","0,01","0,00","0,00","Profiling.exe",
7,"fopen",1,"27,37","27,37","0,92","0,92","ucrtbased.dll",
7,"MaafLajbrry::add",200,"1,85","0,78","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",200,"1,00","1,00","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",200,"0,07","0,07","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::pow",101,"0,60","0,51","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",101,"0,08","0,08","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",101,"0,01","0,01","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::rad",1,"0,57","0,13","0,02","0,00","Profiling.exe",
8,"MaafLajbrry::pow",59,"0,40","0,34","0,00","0,00","Profiling.exe",
9,"_RTC_CheckEsp",59,"0,05","0,05","0,00","0,00","Profiling.exe",
9,"__CheckForDebuggerJustMyCode",59,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_dtol3",1,"0,04","0,04","0,00","0,00","Profiling.exe",
8,"_allrem",1,"0,01","0,01","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::divid",2,"0,03","0,03","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",2,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",2,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::sub",1,"0,02","0,02","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::~MaafLajbrry",1,"0,01","0,01","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"_RTC_CheckEsp",2,"0,01","0,01","0,00","0,00","Profiling.exe",
7,"_RTC_CheckStackVars",1,"0,01","0,01","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::MaafLajbrry",1,"0,01","0,01","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"MaafLajbrry::mul",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"__security_check_cookie",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
6,"printf",1,"15,19","0,03","0,51","0,00","Profiling.exe",
7,"_vfprintf_l",1,"15,16","0,01","0,51","0,00","Profiling.exe",
8,"__stdio_common_vfprintf",1,"15,14","15,14","0,51","0,51","ucrtbased.dll",
8,"__local_stdio_printf_options",1,"0,00","0,00","0,00","0,00","Profiling.exe",
9,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
9,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"_RTC_CheckEsp",2,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"__acrt_iob_func",1,"0,01","0,01","0,00","0,00","ucrtbased.dll",
7,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"_RTC_CheckEsp",2,"0,00","0,00","0,00","0,00","Profiling.exe",
6,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
6,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
4,"pre_c_initialization",1,"5,11","0,70","0,17","0,02","Profiling.exe",
5,"__scrt_narrow_argv_policy::configure_argv",1,"2,74","2,74","0,09","0,09","Profiling.exe",
5,"_initialize_default_precision",1,"0,66","0,66","0,02","0,02","Profiling.exe",
5,"__scrt_file_policy::set_fmode",1,"0,44","0,44","0,01","0,01","Profiling.exe",
5,"atexit",1,"0,39","0,00","0,01","0,00","Profiling.exe",
6,"_onexit",1,"0,39","0,38","0,01","0,01","Profiling.exe",
7,"__crt_fast_decode_pointer<void (__cdecl**)(void)>",1,"0,00","0,00","0,00","0,00","Profiling.exe",
8,"__crt_rotate_pointer_value",1,"0,00","0,00","0,00","0,00","Profiling.exe",
5,"__scrt_file_policy::set_commode",1,"0,14","0,14","0,00","0,00","Profiling.exe",
5,"__scrt_main_policy::set_app_type",1,"0,02","0,02","0,00","0,00","Profiling.exe",
5,"__scrt_initialize_type_info",1,"0,01","0,00","0,00","0,00","Profiling.exe",
6,"RtlInitializeSListHead",1,"0,01","0,01","0,00","0,00","ntdll.dll",
5,"__scrt_initialize_onexit_tables",1,"0,01","0,01","0,00","0,00","Profiling.exe",
6,"__crt_fast_encode_pointer<void (__cdecl**)(void)>",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"__crt_rotate_pointer_value",1,"0,00","0,00","0,00","0,00","Profiling.exe",
6,"__scrt_is_ucrt_dll_in_use",1,"0,00","0,00","0,00","0,00","Profiling.exe",
5,"__scrt_narrow_environment_policy::initialize_environment",1,"0,01","0,01","0,00","0,00","Profiling.exe",
5,"_RTC_Initialize",1,"0,00","0,00","0,00","0,00","Profiling.exe",
5,"__scrt_initialize_mta",1,"0,00","0,00","0,00","0,00","Profiling.exe",
5,"__scrt_is_user_matherr_present",1,"0,00","0,00","0,00","0,00","Profiling.exe",
4,"pre_cpp_initialization",1,"3,53","0,04","0,12","0,00","Profiling.exe",
5,"__scrt_set_unhandled_exception_filter",1,"3,50","0,00","0,12","0,00","Profiling.exe",
6,"SetUnhandledExceptionFilter",1,"3,50","3,50","0,12","0,12","KERNEL32.DLL",
4,"post_pgo_initialization",1,"1,08","0,00","0,04","0,00","Profiling.exe",
5,"__scrt_initialize_default_local_stdio_options",1,"1,08","0,63","0,04","0,02","Profiling.exe",
6,"__local_stdio_printf_options",1,"0,44","0,01","0,01","0,00","Profiling.exe",
7,"__CheckForDebuggerJustMyCode",1,"0,42","0,42","0,01","0,01","Profiling.exe",
7,"_RTC_CheckEsp",1,"0,01","0,01","0,00","0,00","Profiling.exe",
6,"__local_stdio_scanf_options",1,"0,01","0,00","0,00","0,00","Profiling.exe",
7,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
